Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
34-37,4,Education,Title I Public School Staff,Associate Degree,USA,18000.00,0.00,0.00,Female
34-37,9,"Tourism ","Senior digital marketing executive ",Master's Degree,USA,24000.00,0.00,0.00,Female
34-37,5,"Retail ","Crew member ",Bachelor's Degree,USA,24000.00,0.00,0.00,Female
34-37,15,"Food Service ","Supervisor ",Bachelor's Degree,USA,26000.00,0.00,0.00,Female
34-37,10,Electrical Wholesale,Office Administrator,Bachelor's Degree,USA,26000.00,0.00,0.00,Female
34-37,1,"Pharmacy ","Pharmacy Technician ",Master's Degree,USA,26880.00,0.00,0.00,Female
34-37,15,"Retail ","Assistant Manager ","Some College credit, no degree",USA,28000.00,0.00,0.00,Female
34-37,10,Call center,Csr,"High School Graduate, Diploma or the equivalent (e",USA,30000.00,0.00,0.00,Female
34-37,9,Dental,Dental Assistant,"Trade, Technical, Vocational Training",USA,31000.00,0.00,0.00,Female
34-37,10,Retail,Sales associate,"Some College credit, no degree",USA,31200.00,0.00,0.00,Female
34-37,5,"Revenue Cycle ","Patient account representative ","Trade, Technical, Vocational Training",USA,31720.00,0.00,0.00,Female
34-37,7,Broadcast,"Coordinator ",Bachelor's Degree,"ENGLAND ",32000.00,0.00,0.00,Female
34-37,10,Foster Care 30 hours a week,N/A,Bachelor's Degree,USA,32000.00,0.00,0.00,Female
34-37,20+,Health care,"Scheduler ","Some College credit, no degree",USA,32000.00,0.00,0.00,Female
34-37,8,Childcare,Nanny,Master's Degree,USA,32000.00,0.00,0.00,Female
34-37,5,Policing and Government,Analyst,Bachelor's Degree,ENGLAND,32770.00,0.00,0.00,Female
34-37,4,Corporate travel,N/A,"Some College credit, no degree",USA,33000.00,0.00,0.00,Female
34-37,1,Psychology,"Psych Technician ","Some College credit, no degree",USA,33600.00,0.00,0.00,Female
34-37,15,Events,"Client manager/ logistics ",Master's Degree,USA,34500.00,0.00,0.00,Female
34-37,4,"Electronics distribution ",BUSAiness Development Specialist,"Some High School, No Diploma",USA,35000.00,0.00,0.00,Female
34-37,11,"Retail ",N/A,Bachelor's Degree,USA,35000.00,0.00,0.00,Female
