Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
38-41,20+,Disability,Disabled,Bachelor's Degree,USA,11000.00,0.00,0.00,Female
38-41,5,Legal,"Real Estate Legal Assistant- Part Time ","High School Graduate, Diploma or the equivalent (e",CANADA,19500.00,0.00,0.00,Female
38-41,15,Education,Teacher,BachelorsDegree,UAE,23000.00,0.00,0.00,Female
38-41,6,"Education ","Paraprofessional ",Associate Degree,USA,23000.00,0.00,0.00,Female
38-41,20+,Retail,"Sales Associate ",Master's Degree,USA,23296.00,0.00,0.00,Female
38-41,20+,Education,Paraeducator,Bachelor's Degree,USA,28000.00,0.00,0.00,Female
38-41,5,"software ","Software tach specialist ","High School Graduate, Diploma or the equivalent (e",USA,31000.00,0.00,0.00,Female
38-41,2,County Government,Child Support Enforcement Caseworker,Bachelor's Degree,USA,32000.00,0.00,0.00,Female
38-41,1,"Healthcare ","Claim Analyst ",Associate Degree,USA,35000.00,0.00,0.00,Female
38-41,14,"Education ","Interventionist ",Master's Degree,USA,35000.00,0.00,0.00,Female
38-41,1,"Health insurance ","Claim analyst ",Associate Degree,USA,35000.00,0.00,0.00,Female
38-41,9,"Medical insurance/biller ","Credit Balance Specialist ","Some College credit, no degree",USA,35000.00,0.00,0.00,Female
38-41,15,Human Resources,Human Resource Generalist,"Some College credit, no degree",USA,36000.00,0.00,0.00,Female
38-41,6,"Accounts receivable ",Cash poster,"Some College credit, no degree",USA,37710.40,0.00,0.00,Female
38-41,20+,Real Estate,Office Manager,Bachelor's Degree,IRELAND,40000.00,0.00,0.00,Female
38-41,20+,Photography retoucher,Retoucher,Associate Degree,USA,40000.00,0.00,0.00,Female
38-41,3,"Banking ",Teller,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
38-41,5,"Education ","Faculty Recruiter ",Master's Degree,USA,40000.00,0.00,0.00,Female
38-41,20+,"HazardoUSA Material Disposal ","Waste Coordinator ","Some College credit, no degree",USA,40000.00,0.00,0.00,Female
38-41,1,Laboratory IT,Information System analyst,Bachelor's Degree,USA,41600.00,0.00,0.00,Female
38-41,20+,Logistics,"Fleet Specialist ","Some College credit, no degree",USA,41600.00,0.00,0.00,Female
38-41,3,Healthcare,Lead accounts payable specialist,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
38-41,3,Medical,"Staffing Coordinator ",Bachelor's Degree,USA,43000.00,0.00,0.00,Female
38-41,5,Staffing,Administrative Assistant,"Some College credit, no degree",USA,43000.00,0.00,0.00,Female
38-41,5,"Real Estate / Tech ","Team Integrations Specialist ","Trade, Technical, Vocational Training",USA,43680.00,0.00,0.00,Female
38-41,1,"Health insurance ",Plan Operations Associate,"Some College credit, no degree",USA,43680.00,0.00,0.00,Female
38-41,5,"Healthcare coding ",Medical coding,"Trade, Technical, Vocational Training",USA,44000.00,0.00,0.00,Female
38-41,10,"Education ","Secretary ",Associate Degree,USA,45000.00,0.00,0.00,Female
38-41,14,"Advertising ",N/A,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
38-41,4,"Insurance ",CSR,"Some College credit, no degree",USA,47840.00,0.00,0.00,Female
38-41,18,Specialeducation,Transitioncoordinator,MastersDegree,USA,48000.00,0.00,0.00,Female
38-41,10,Non Profit,Disaster Program Manager,Bachelor's Degree,USA,48000.00,0.00,0.00,Female
38-41,5,"Municipal ",Billing clerk,"Some College credit, no degree",USA,48776.00,0.00,0.00,Female
38-41,9,Medical recruiting,Associate physican recruiter,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
38-41,15,"Payroll ",Payroll Lead,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
38-41,18,Mortgage finance,Loan Processor,"High School Graduate, Diploma or the equivalent (e",USA,50000.00,0.00,0.00,Female
38-41,10,Dental,Treatment Coordinator,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
38-41,6,Real estate,Sales agent,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
38-41,7,Marketing,"Communications Manager ",Bachelor's Degree,USA,50000.00,0.00,0.00,Female
38-41,4,Healthcare,Medical Coder II,"Trade, Technical, Vocational Training",USA,50000.00,0.00,0.00,Female
38-41,18,"Insurance ","Underwriter ","High School Graduate, Diploma or the equivalent (e",USA,50000.00,0.00,0.00,Female
38-41,6,Healthcare,"Quality coordinator ",Master's Degree,USA,50773.00,0.00,0.00,Female
38-41,12,Education,"Special education teacher ",Master's Degree,MALAYSIA,51000.00,0.00,0.00,Female
38-41,4,"Trucking ",Executive Assistant,"Some College credit, no degree",USA,51000.00,0.00,0.00,Female
38-41,11,"Accounting ","Accountant ",Bachelor's Degree,USA,51000.00,0.00,0.00,Female
38-41,7,N/A,Video producer,Bachelor's Degree,USA,52000.00,0.00,0.00,Female
38-41,6,HazardoUSA waste management,Technical services,"Some College credit, no degree",USA,52000.00,0.00,0.00,Female
38-41,1,Library Tech,Library Assistant,"Trade, Technical, Vocational Training",CANADA,52361.00,0.00,0.00,Female
38-41,1,Insirance,Claims asjuater,Associate Degree,USA,52500.00,0.00,0.00,Female
38-41,12,Higher Education,Coordinator,Master's Degree,USA,53000.00,0.00,0.00,Female
38-41,20+,"Healthcare ","Chief clerk ","Some College credit, no degree",USA,54989.00,0.00,0.00,Female
38-41,10,Non-profit Arts,Manager,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
38-41,4,"Accountant ",Accountant 1,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
38-41,20+,"Workforce Management "," Manager",Associate Degree,USA,56000.00,0.00,0.00,Female
38-41,13,Human Services,Case Manager,Bachelor's Degree,USA,56000.00,0.00,0.00,Female
38-41,20+,"Grocery ",Data analyst,"Some College credit, no degree",USA,56000.00,0.00,0.00,Female
38-41,2,"Accounts ","Accounts receivable ","High School Graduate, Diploma or the equivalent (e",AUSTRALIA,57000.00,0.00,0.00,Female
38-41,15,Healthcare,Surgical coder,Bachelor's Degree,USA,57000.00,0.00,0.00,Female
38-41,5,"Local government ",Human Resource Analyst,Bachelor's Degree,USA,57304.00,0.00,0.00,Female
38-41,14,Utility,Billing,Associate Degree,USA,58000.00,0.00,0.00,Female
38-41,5,Education,Assistant Director of Admissions -,Bachelor's Degree,USA,59000.00,0.00,0.00,Female
38-41,17,Higher Education,Degree Program Coordinator,Master's Degree,USA,59000.00,0.00,0.00,Female
38-41,3,Social Services,CPS Caseworker,Master's Degree,USA,59000.00,0.00,0.00,Female
38-41,5,Tech,"CUSAtomer Support Manager ",No Schooling Completed,ENGLAND,60000.00,0.00,0.00,Female
38-41,8,Nonprofit,Social Media Manager,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
38-41,10,Higher Education Research Administration,Policy Project Analyst,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
38-41,5,CPG,Category Analyst,"Some College credit, no degree",USA,60000.00,0.00,0.00,Female
38-41,10,E-commerce,ExecutiveAssistant,BachelorsDegree,USA,60000.00,0.00,0.00,Female
38-41,15,Retail,"Finance manager ",Professional Degree,USA,60000.00,0.00,0.00,Female
38-41,6,Legal,"Legal Assistant ",Associate Degree,USA,60000.00,0.00,0.00,Female
38-41,20+,Education/Non-Profit,Non-Profit Founder & CEO,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
38-41,5,Fintech,"Concierge support supervisor ","Some College credit, no degree",USA,60000.00,0.00,0.00,Female
