Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
26-29,1,Marketing,Intern,Associate Degree,USA,12000.00,0.00,0.00,Female
26-29,1,Healthcare,"Staffing Coordinator ","High School Graduate, Diploma or the equivalent (e",USA,17300.00,0.00,0.00,Female
26-29,1,Teacher,Elementaryschoolteacher,ProfessionalDegree,CANADA,20000.00,0.00,0.00,Female
26-29,1,Retail,Cashier,"Some College credit, no degree",USA,20160.00,0.00,0.00,Female
26-29,1,"Social media ",Social media manager,Master's Degree,"ENGLAND ",22000.00,0.00,0.00,Female
26-29,1,N/A,Embroidery Machine Operator,"Some College credit, no degree",USA,24000.00,0.00,0.00,Female
26-29,1,Healthcare,Patient Care Technician,Associate Degree,USA,24000.00,0.00,0.00,Female
26-29,1,"Healthcare ",Direct Support Professional,Bachelor's Degree,USA,25000.00,0.00,0.00,Female
26-29,1,Media,"Video editor ",Bachelor's Degree,USA,26000.00,0.00,0.00,Female
26-29,1,"Beauty ","Esthetician ","Trade, Technical, Vocational Training",USA,27500.00,0.00,0.00,Female
26-29,1,Cosmetology,"Hairstylist ","Trade, Technical, Vocational Training",USA,28000.00,0.00,0.00,Female
26-29,1,"Automotive Finance ",Repurchase Coordinator,"Some College credit, no degree",USA,28000.00,0.00,0.00,Female
26-29,1,Finance,Member Service Rep,"Some College credit, no degree",USA,28800.00,0.00,0.00,Female
26-29,1,Legal Services,Pro Bono Coordinator,Master's Degree,USA,29000.00,0.00,0.00,Female
26-29,1,Real Estate,Associate Agent,"Some College credit, no degree",USA,30000.00,0.00,0.00,Female
26-29,1,Mental health,Therapist,Master's Degree,USA,30000.00,0.00,0.00,Female
26-29,1,Sales,Advertising Account Executive,Master's Degree,USA,30000.00,0.00,0.00,Female
26-29,1,"Human Resources ","Hr assistant ","Some College credit, no degree",USA,30000.00,0.00,0.00,Female
26-29,1,Beauty IndUSAtry,"Esthetician ","Trade, Technical, Vocational Training",USA,30000.00,0.00,0.00,Female
26-29,1,Medical field,PSR,Bachelor's Degree,USA,31000.00,0.00,0.00,Female
26-29,1,"Staffing ",Recruiter,Bachelor's Degree,USA,31200.00,0.00,0.00,Female
26-29,1,"Mortgage ","Client Approval ","Some College credit, no degree",USA,31200.00,0.00,0.00,Female
26-29,1,Finance,Loan Delivery Specialist Contractor,Associate Degree,USA,31200.00,0.00,0.00,Female
26-29,1,Education,Teacher Aide,"Some College credit, no degree",USA,31824.00,0.00,0.00,Female
26-29,1,"Parks and Recreation ",Recreation Coordinator,Master's Degree,USA,32000.00,0.00,0.00,Female
26-29,1,"Education ",Itinerant,Bachelor's Degree,USA,34000.00,0.00,0.00,Female
26-29,1,biotech,"Environmental, health, and safety technician","Trade, Technical, Vocational Training",USA,34000.00,0.00,0.00,Female
26-29,1,Health care,Athletic Trainer,Master's Degree,USA,35000.00,0.00,0.00,Female
26-29,1,"Food ","General Manager ",Master's Degree,USA,35000.00,0.00,0.00,Female
26-29,1,Legal,Clerk Typist III,Associate Degree,USA,35000.00,0.00,0.00,Female
26-29,1,Law,Paralegal,Bachelor's Degree,USA,35009.00,0.00,0.00,Female
26-29,1," Federal Government",Loan Technician,Master's Degree,USA,35250.00,0.00,0.00,Female
26-29,1,Food,"Lab technician ",Bachelor's Degree,USA,35360.00,0.00,0.00,Female
26-29,1,N/A,"Outpatient Access Specialist ",Associate Degree,USA,35360.00,0.00,0.00,Female
26-29,1,Automotive,"Internal Service Advisor ","Some High School, No Diploma",USA,36000.00,0.00,0.00,Female
26-29,1,"Medecine ",Emt,"Trade, Technical, Vocational Training",USA,36000.00,0.00,0.00,Female
26-29,1,Inside Ops,"Purchasing Specialist ",Bachelor's Degree,USA,36220.00,0.00,0.00,Female
26-29,1,Banking,Fraud Analyst,Associate Degree,USA,37000.00,0.00,0.00,Female
26-29,1,Advertising,Video Editor,Bachelor's Degree,USA,37500.00,0.00,0.00,Female
26-29,1,"Education ",Para,Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,Media,"Media buyer ",Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,Human Resources,HR Coordinator,Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,Healthcare,"Credentialing specialist ",Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,"Logistics ","Sales Administration ",Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,"Digital Media ","Content Marketing Specialist ",Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,Communications,"communication specialist ",Bachelor's Degree,USA,38000.00,0.00,0.00,Female
26-29,1,Healthcare,Insurance Analyst,Bachelor's Degree,USA,38500.00,0.00,0.00,Female
26-29,1,"Research ","Research Data Coordinator ",Bachelor's Degree,USA,39000.00,0.00,0.00,Female
26-29,1,Non-Profit,Case Manager,Bachelor's Degree,USA,39000.00,0.00,0.00,Female
26-29,1,Public Safety,Juvenile Probation Officer,Bachelor's Degree,USA,39000.00,0.00,0.00,Female
26-29,1,Marketing,"Social Media Coordinator ",Bachelor's Degree,USA,39000.00,0.00,0.00,Female
26-29,1,Health IndUSAtry,"HR specialist ","Some College credit, no degree",USA,39520.00,0.00,0.00,Female
26-29,1,HumanResources,Intern,BachelorsDegree,USA,39520.00,0.00,0.00,Female
26-29,1,Pharmaceutical,Pharmacy assistant,Bachelor's Degree,AUSTRALIA,40000.00,0.00,0.00,Female
26-29,1,Non profit,"Data Analyst ",Bachelor's Degree,CANADA,40000.00,0.00,0.00,Female
26-29,1,Market Research,"Project Coordinator ",Bachelor's Degree,CANADA,40000.00,0.00,0.00,Female
26-29,1,Education,Occasional Teacher,Bachelor's Degree,CANADA,40000.00,0.00,0.00,Female
26-29,1,"Education. ","Teacher ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,education,"school counselor ",Master's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,Mental Health Therapist,Outpatient Therapist,Master's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,"Education ",University Admissions Counselor/Recruiter,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,"Land development ","Administrative Coordinator ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,Government,Forensic Lab Technician,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,Tech,CUSAtomer Care Specialist,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,Technology,Scrum Master,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,"Construction ","Administrative Assistant, Learning and Development",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
26-29,1,TechSales,SDRTeamLead,BachelorsDegree,USA,40000.00,0.00,0.00,Female
26-29,1,Architecture/Civil Engineering,CADD Technician,Associate Degree,USA,40040.00,0.00,0.00,Female
26-29,1,"Food and Beverage ","Marketing Coordinator ",Bachelor's Degree,USA,40950.00,0.00,0.00,Female
26-29,1,Non Profit,"Fiscal Intermediary Coordinator ","High School Graduate, Diploma or the equivalent (e",USA,40950.00,0.00,0.00,Female
26-29,1,"Elementary education ",Teacher,Bachelor's Degree,USA,41000.00,0.00,0.00,Female
26-29,1,"Legal ","Paralegal ",Master's Degree,USA,41000.00,0.00,0.00,Female
26-29,1,Librarian,Youth services librarian,Master's Degree,USA,41000.00,0.00,0.00,Female
26-29,1,CUSAtomer Service,CX Associate,"Some College credit, no degree",USA,41000.00,0.00,0.00,Female
26-29,1,"Women Accessories ","Executive Assistant ",Bachelor's Degree,USA,41600.00,0.00,0.00,Female
26-29,1,Sales,Sales Assistant,Bachelor's Degree,USA,41600.00,0.00,0.00,Female
26-29,1,Transportation/Logistics,Recruitment Marketing Assistant,Bachelor's Degree,USA,41600.00,0.00,0.00,Female
26-29,1,"Education ","Elementary MUSAic Teacher ",Bachelor's Degree,USA,41932.00,0.00,0.00,Female
26-29,1,IT,Technical academic advisor,Associate Degree,USA,42000.00,0.00,0.00,Female
26-29,1,Supply chain,Buyer,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
26-29,1,Education,Special Education Teacher,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
26-29,1,"Defensive aerospace ",Chemical Buyer,"Some College credit, no degree",USA,42000.00,0.00,0.00,Female
26-29,1,"Prove management  ","Project Coordinator ","Some College credit, no degree",USA,42000.00,0.00,0.00,Female
26-29,1,Social Work,Case manager,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
26-29,1,CUSAtomer service,BUSAiness office associate,"Some College credit, no degree",USA,42000.00,0.00,0.00,Female
26-29,1,"Legal ","Paralegal ",Bachelor's Degree,USA,42000.00,0.00,0.00,Female
26-29,1,"Fashion & apparel ",Merchandise Coordinator,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
26-29,1,Marketing,Analytics & Insights Analyst,Bachelor's Degree,USA,42500.00,0.00,0.00,Female
26-29,1,"Environmental Engineering ",N/A,Bachelor's Degree,USA,42500.00,0.00,0.00,Female
26-29,1,"Naval Shipbuilding ",Document Control,Bachelor's Degree,CANADA,43000.00,0.00,0.00,Female
26-29,1,Education,HR Service Center Rep,Bachelor's Degree,USA,43000.00,0.00,0.00,Female
26-29,1,Accountig,"Tax coordinator ",Bachelor's Degree,USA,43000.00,0.00,0.00,Female
26-29,1,Legal,"Paralegal ",Bachelor's Degree,USA,43000.00,0.00,0.00,Female
26-29,1,"Social work ","Child and family therapist ",Master's Degree,USA,43000.00,0.00,0.00,Female
26-29,1,Legal,"Attorney ",Professional Degree,USA,43000.00,0.00,0.00,Female
26-29,1,Social media/tech,Specialist,"Some College credit, no degree",USA,43000.00,0.00,0.00,Female
26-29,1,Pharmaceutical Research,Research Study Coordinator,Master's Degree,USA,43033.00,0.00,0.00,Female
26-29,1,Tech Manufacturing,CUSAtomer Service,"High School Graduate, Diploma or the equivalent (e",USA,43260.00,0.00,0.00,Female
26-29,1,"Education ",Teacher,Bachelor's Degree,USA,43500.00,0.00,0.00,Female
26-29,1,Car Dealership,Accountant,Bachelor's Degree,USA,43860.00,0.00,0.00,Female
26-29,1,"Cybersecurity ","Consultant/bUSAiness analyst ",Master's Degree,FRANCE,44000.00,0.00,0.00,Female
26-29,1,"Apartment Leasing ","Leasing Consultant ","High School Graduate, Diploma or the equivalent (e",USA,44000.00,0.00,0.00,Female
26-29,1,Interior design,Junior interior designer,Bachelor's Degree,USA,44000.00,0.00,0.00,Female
26-29,1,Sales,Showroom coordinator,"Some College credit, no degree",USA,44000.00,0.00,0.00,Female
26-29,1,"Clerical ",N/A,"Some College credit, no degree",USA,44000.00,0.00,0.00,Female
26-29,1,Digital Marketing,Associate media planner,Bachelor's Degree,USA,44000.00,0.00,0.00,Female
26-29,1,IT,"BUSAiness analyst ",Associate Degree,USA,44500.00,0.00,0.00,Female
26-29,1,Finance,Bilingual Retirement specialist,Associate Degree,USA,44700.00,0.00,0.00,Female
26-29,1,Healthcare,Dietitian,Bachelor's Degree,USA,44720.00,0.00,0.00,Female
26-29,1,"Human Resources ",People and Culture Coordinator,Bachelor's Degree,CANADA,45000.00,0.00,0.00,Female
26-29,1,Finance,"Instructor ",Associate Degree,USA,45000.00,0.00,0.00,Female
26-29,1,Technology Recruiter,Technology Recruiter,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
26-29,1,Graphic Design,Marketing Specialist and designer,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
