Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
22-25,1," Car dealership","Data Processing ","High School Graduate, Diploma or the equivalent (e",USA,20000.00,0.00,0.00,Female
22-25,1," Marketing ",Product marketing intern,Bachelor's Degree,USA,49950.00,0.00,0.00,Female
22-25,1,Tech,software dev,Master's Degree,AUSTRALIA,80000.00,0.00,0.00,Male
22-25,1,Tech,TPM,Bachelor's Degree,USA,100000.00,10000.00,0.00,Male
22-25,1,Tech,"Onboarding specialist ",Bachelor's Degree,USA,41600.00,0.00,0.00,Female
22-25,1,Tech,N/A,Master's Degree,USA,80000.00,0.00,0.00,Female
22-25,1,Tech,Database Analyst,Bachelor's Degree,USA,60000.00,0.00,0.00,Non-Binary
22-25,1,Tech,Colour Designer,Associate Degree,CANADA,52000.00,0.00,0.00,Female
22-25,1,"ABA ","Registered Behavioral Technician ","Some College credit, no degree",USA,31920.00,0.00,0.00,Female
22-25,1,"ABA Therapy ",Registered behavioral technician,"High School Graduate, Diploma or the equivalent (e",USA,37000.00,0.00,0.00,Female
22-25,1,Academia,Doctoral Student,Bachelor's Degree,USA,30000.00,0.00,0.00,Female
22-25,1,Academia,"Research assistant ",Bachelor's Degree,USA,31200.00,0.00,0.00,Female
22-25,1,Academia,PhD student-chemistry,Bachelor's Degree,USA,32573.00,0.00,0.00,Female
22-25,1,Academia,PhD Student,Doctorate Degree,USA,35000.00,0.00,0.00,Female
22-25,1,Academia,"PhD student ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
22-25,1,Academia,"Graduate Student Researcher ",Bachelor's Degree,USA,25000.00,0.00,0.00,Female
22-25,1,"Academia ","Secretary ",Master's Degree,USA,30000.00,0.00,0.00,Female
22-25,1,"Academia ","Graduate Student ",Bachelor's Degree,USA,34000.00,0.00,0.00,Female
22-25,1,"Academia ","Staff Research Associate ",Master's Degree,USA,60000.00,0.00,0.00,Female
22-25,1,"Academia ","Chemistry Graduate Student ",Bachelor's Degree,USA,19000.00,0.00,0.00,Female
22-25,1,"Academia ",Research tech 1,Bachelor's Degree,USA,33000.00,0.00,0.00,Female
22-25,1,"Academia ",Graduate TA,Bachelor's Degree,USA,25056.00,0.00,0.00,Male
22-25,1,"Accommodation ",HoUSAekeeping Supervisor,"High School Graduate, Diploma or the equivalent (e",AUSTRALIA,85000.00,0.00,0.00,Male
22-25,1,"Accommodation ",Comms and Marketing Manager,Master's Degree,NEW ZEALAND,55000.00,0.00,0.00,Male
22-25,1,Accounting,Associate,Bachelor's Degree,USA,30000.00,0.00,0.00,Female
22-25,1,Accounting,Trainee Chartered Accountant,Bachelor's Degree,SCOTLAND,18000.00,0.00,0.00,Female
22-25,1,Accounting,"Accounts assistant ",Bachelor's Degree,SINGAPORE,31200.00,0.00,0.00,Female
22-25,1,Accounting,Junior accountant,Bachelor's Degree,CANADA,43000.00,0.00,0.00,Female
22-25,1,Accounting,Staff Accountant,Bachelor's Degree,CANADA,45000.00,0.00,0.00,Female
22-25,1,Accounting,Staff Accountant,Bachelor's Degree,CANADA,47000.00,0.00,0.00,Female
22-25,1,Accounting,Accountant,Bachelor's Degree,USA,47000.00,0.00,0.00,Female
22-25,1,Accounting,Accounts payable,Bachelor's Degree,USA,48000.00,0.00,0.00,Female
22-25,1,Accounting,Tax analyst,Bachelor's Degree,CANADA,48500.00,0.00,0.00,Female
22-25,1,Accounting,"Accounting specialist ",Bachelor's Degree,USA,52000.00,0.00,0.00,Female
22-25,1,Accounting,Accountant,Bachelor's Degree,AUSTRALIA,52800.00,0.00,0.00,Female
22-25,1,Accounting,Audit associate,Bachelor's Degree,CANADA,54000.00,0.00,0.00,Female
22-25,1,Accounting,"Audit Associate ",Bachelor's Degree,USA,54000.00,0.00,0.00,Female
22-25,1,Accounting,"Tax Accountant ",Bachelor's Degree,USA,54000.00,0.00,0.00,Female
22-25,1,Accounting,Auditor,Master's Degree,USA,54500.00,0.00,0.00,Female
22-25,1,Accounting,Associate accountant,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
22-25,1,Accounting,Tax Associate,Master's Degree,USA,56000.00,0.00,0.00,Female
22-25,1,Accounting,Audit Associate,"Some College credit, no degree",USA,56000.00,0.00,0.00,Female
22-25,1,Accounting,Staff 1,Master's Degree,USA,57000.00,0.00,0.00,Female
22-25,1,Accounting,"Tax Associate ",Bachelor's Degree,USA,58000.00,0.00,0.00,Female
22-25,1,Accounting,Staff 1,Bachelor's Degree,USA,58000.00,0.00,0.00,Female
22-25,1,Accounting,Tax Associate,Master's Degree,USA,58000.00,0.00,0.00,Female
22-25,1,Accounting,Staff accountant,Bachelor's Degree,USA,59000.00,0.00,0.00,Female
22-25,1,Accounting,Audit assistant,Master's Degree,USA,60000.00,0.00,0.00,Female
22-25,1,Accounting,Tax Associate,Master's Degree,USA,60000.00,0.00,0.00,Female
22-25,1,Accounting,Audit Staff,Master's Degree,USA,60000.00,0.00,0.00,Female
22-25,1,Accounting,"Audit associate ",Bachelor's Degree,USA,60500.00,0.00,0.00,Female
22-25,1,Accounting,Associate Accountant,Bachelor's Degree,USA,61000.00,0.00,0.00,Female
22-25,1,Accounting,Staff,Master's Degree,USA,61600.00,0.00,0.00,Female
22-25,1,Accounting,Staff Accountant,Master's Degree,USA,62100.00,0.00,0.00,Female
22-25,1,Accounting,Payroll Compliance Analyst,Bachelor's Degree,USA,62728.00,0.00,0.00,Female
22-25,1,Accounting,Audit Associate,Master's Degree,USA,63000.00,0.00,0.00,Female
22-25,1,Accounting,Accountant,Master's Degree,USA,63000.00,0.00,0.00,Female
22-25,1,Accounting,Tax staff,Master's Degree,USA,63500.00,0.00,0.00,Female
