Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
54-57,10,Realestate,Broker,"SomeCollegecredit,nodegree",USA,50000.00,0.00,0.00,Female
54-57,20+,"Government ",MPA,"Trade, Technical, Vocational Training",USA,53000.00,0.00,0.00,Female
54-57,15,Teacher,Teacher,Master's Degree,USA,54000.00,0.00,0.00,Female
54-57,20+,Non profit,Manager,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
54-57,20+,"Transportation ","CUSAtomer service ",Bachelor's Degree,USA,60000.00,0.00,0.00,Female
54-57,20+,Alumni relations,Sr coordinator,Bachelor's Degree,USA,61000.00,0.00,0.00,Female
54-57,20+,"Educational Technology ",Coordinator,Bachelor's Degree,USA,69000.00,0.00,0.00,Female
54-57,14,N/A,N/A,"Some College credit, no degree",USA,104000.00,0.00,0.00,Female
54-57,20+,Higher education,"Professor ",Doctorate Degree,USA,150000.00,0.00,0.00,Female
54-57,20+,Software,Recruiter,Bachelor's Degree,USA,160000.00,0.00,0.00,Female
54-57,20+,"Chemical Manufacturing ",District Sales and Engineering Manager,Master's Degree,USA,190000.00,0.00,0.00,Female
54-57,20+,"Real estate ","Realtor ","Some College credit, no degree",USA,350000.00,0.00,0.00,Female
54-57,20+,Medicine/Health Care,Physician/Internal Medicine,Doctorate Degree,USA,400000.00,0.00,0.00,Female
54-57,20+,"Education ","BUSAiness Consultant ","Some College credit, no degree",USA,156972.00,0.00,0.00,Female
54-57,20+,Education,Tutor,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
54-57,20+,"Transportation ",Program Manager,Bachelor's Degree,USA,167000.00,0.15,0.00,Female
54-57,8,Health,Operations manager,"High School Graduate, Diploma or the equivalent (e",AUSTRALIA,145000.00,0.20,0.00,Female
54-57,20+,"Software ",Scrum master,Master's Degree,USA,155000.00,0.20,0.00,Female
54-57,20+,Healthcare,"Receptionist ","Some College credit, no degree",USA,35000.00,650.00,0.00,Female
54-57,20+,Nonprofit,Executive Director,"Some College credit, no degree",USA,88000.00,880.00,0.00,Female
54-57,10,Hospitality,"Director Sales & Marketing ",Bachelor's Degree,USA,110000.00,2000.00,0.00,Female
54-57,9,"Education ","Special education teacher ",Bachelor's Degree,USA,59800.00,2500.00,0.00,Female
54-57,1,"Accounts payable ",Accounts payable transaction analyst,Bachelor's Degree,USA,51000.00,3000.00,0.00,Female
54-57,20+,Law,Legal Assistant,Bachelor's Degree,USA,55000.00,3000.00,2000.00,Female
54-57,10,"Federal government ",Budget,Bachelor's Degree,USA,98000.00,4000.00,0.00,Female
54-57,18,Medical,"Neonatal Nurse Practitioner ",Master's Degree,USA,159000.00,4000.00,0.00,Female
54-57,16,N/A,N/A,Bachelor's Degree,USA,75000.00,5000.00,0.00,Female
54-57,20+,Real estate,Accounting manager,Bachelor's Degree,USA,105000.00,5000.00,0.00,Female
54-57,20+,"Nursing ","Medical review ",Bachelor's Degree,USA,107000.00,6000.00,0.00,Female
54-57,9,Managed healthcare,BH Clinical Manager,Master's Degree,USA,83000.00,7000.00,0.00,Female
54-57,20+,"Legal ",Corporate Paralegal,Associate Degree,CANADA,110000.00,7500.00,0.00,Female
54-57,20+,Fashion,Director of Trend and Color,Bachelor's Degree,USA,165000.00,10000.00,0.00,Female
