Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
30-33,1,N/A,Employment and Unemployment Officer,Bachelor's Degree,PUERTO RICO,14688.00,0.00,0.00,Female
30-33,1,Healthcare,"Dental Technician ",Bachelor's Degree,USA,25000.00,0.00,0.00,Female
30-33,1,Education,Teacher of Mathematics,Master's Degree,USA,25714.00,0.00,0.00,Female
30-33,1,"Recruitment ","Operations Executive ","Trade, Technical, Vocational Training",ENGLAND,27000.00,0.00,0.00,Female
30-33,1,"Manufacturing ",Scheduler I,"Some College credit, no degree",USA,30100.00,0.00,0.00,Female
30-33,1,N/A,"Contact Tracer ",Bachelor's Degree,USA,32000.00,0.00,0.00,Female
30-33,1,Healthcare,Certified Pharmacy Technician - Inpatient Lvl A,Bachelor's Degree,USA,32256.00,0.00,0.00,Female
30-33,1,Occupational Medicine,Analyst,Bachelor's Degree,USA,34560.00,0.00,0.00,Female
30-33,1,Social work - state employe,Program Coordinator Assistant  (admin to the socia,"High School Graduate, Diploma or the equivalent (e",USA,36000.00,0.00,0.00,Female
30-33,1,Healthcare,Admin,Associate Degree,USA,37000.00,0.00,0.00,Female
30-33,1,Vaccine sciences,Assistant scientist,Bachelor's Degree,USA,37500.00,0.00,0.00,Female
30-33,1,"Health Care Marketing ","Marketing Manager ",Bachelor's Degree,USA,39000.00,0.00,0.00,Female
30-33,1,Water Tower Construction,Market Research,"Some College credit, no degree",USA,39000.00,0.00,0.00,Female
30-33,1,Mortgage,Loan Processor,"Some College credit, no degree",USA,40000.00,0.00,0.00,Female
30-33,1,Finance,Service specialist 2,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
30-33,1,"Finance ","Operations Finance Coordinator ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
30-33,1,Software Engineer,Full time intern,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
30-33,1,"Title and escrow ",N/A,"Some College credit, no degree",USA,41600.00,0.00,0.00,Female
30-33,1,"Supply chain management ",Logistics management coordinator,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
30-33,1,Administrative,Fleet Title Specialist,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
30-33,1,Child Welfare,Caseworker,Master's Degree,USA,42000.00,0.00,0.00,Female
30-33,1,Education,Reception - Academic Support,Bachelor's Degree,CANADA,43800.00,0.00,0.00,Female
30-33,1,Counselor,"Academic Counselor ",Master's Degree,USA,44000.00,0.00,0.00,Female
30-33,1,N/A,Private technical college,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
30-33,1,Insurance agent,Insurance servicer,Associate Degree,USA,45000.00,0.00,0.00,Female
30-33,1,Government,"Tax examiner ",Bachelor's Degree,USA,45000.00,0.00,0.00,Female
30-33,1,Real estate,Admin,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
30-33,1,Construction,"Project Administrator ",Bachelor's Degree,USA,45000.00,0.00,0.00,Female
30-33,1,"Digital marketing ","Associate, Paid Social / media buyer",Bachelor's Degree,USA,45000.00,0.00,0.00,Female
30-33,1,Cytogenetics,Cytogenetic Technologist,Bachelor's Degree,USA,47000.00,0.00,0.00,Female
30-33,1,N/A,"Admissions Counselor ",Master's Degree,USA,47500.00,0.00,0.00,Female
30-33,1,mental health start up,"patient care coordinator ","Some College credit, no degree",USA,47840.00,0.00,0.00,Female
30-33,1,"Non-profit ","Director ",Associate Degree,USA,50000.00,0.00,0.00,Female
30-33,1,"Law Offive ","Legal Assistant ",Bachelor's Degree,USA,50000.00,0.00,0.00,Female
30-33,1,"Finance ",Bookkeeper,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
30-33,1,Marketing,"Digital marketing specialist ","Some College credit, no degree",USA,50000.00,0.00,0.00,Female
30-33,1,Meetings,Meetings Specialist,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
30-33,1,Ed Tech,Support Specialist,No Schooling Completed,USA,50000.00,0.00,0.00,Female
30-33,1,Legal,"Criminal defence solicitor ",Master's Degree,AUSTRALIA,52000.00,0.00,0.00,Female
30-33,1,"Information Technology ","Administrative Assistant/Technician ","Some College credit, no degree",CANADA,52000.00,0.00,0.00,Female
30-33,1,Audit,Revenue Tax Auditor,Master's Degree,USA,52000.00,0.00,0.00,Female
30-33,1,Academic,Postdoctoral Fellow,Doctorate Degree,USA,52000.00,0.00,0.00,Female
30-33,1,Healthcare,Ultrasound Tech,Bachelor's Degree,USA,53000.00,0.00,0.00,Female
30-33,1,Engineering,Proposal Coordinator,Bachelor's Degree,USA,54000.00,0.00,0.00,Female
30-33,1,"Hospitality ","Supervisor ","Some College credit, no degree",USA,55000.00,0.00,0.00,Female
30-33,1,"Healthcare ","Nurse ",Bachelor's Degree,USA,55000.00,0.00,0.00,Female
