Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
18-21,1," Consulting",Office Manager,Bachelor's Degree,CANADA,42000.00,0.00,0.00,Female
18-21,1,Retail,"Account Coordinator ",Bachelor's Degree,USA,37000.00,1200.00,0.00,Female
18-21,1,Transportation,Engineering product manager 1,Bachelor's Degree,USA,75000.00,0.00,3000.00,Female
18-21,1,Accounting,Junior credit controller,"Some High School, No Diploma",ENGLAND,19500.00,250.00,0.00,Female
18-21,1,Accounting,"Junior Assistent accountant ","High School Graduate, Diploma or the equivalent (e",NETHERLANDS,30000.00,2200.00,0.00,Female
18-21,2,Accounting,Associate,"High School Graduate, Diploma or the equivalent (e",ENGLAND,24500.00,1500.00,0.00,Female
18-21,1,Accounting,Staff Acountant,Master's Degree,USA,58000.00,0.00,0.00,Female
18-21,1,Accounting,Tax Intern,Associate Degree,USA,44160.00,500.00,0.00,Female
18-21,1,Accounting,Tax Consultant,Bachelor's Degree,USA,66600.00,0.00,0.00,Male
18-21,1,Accounting,Assurance 1,Bachelor's Degree,CANADA,55000.00,0.00,2000.00,Male
18-21,1,Accounting,Audit Associate,Master's Degree,USA,63500.00,0.00,3000.00,Female
18-21,1,Accounting,Sale Rep,Bachelor's Degree,USA,50000.00,0.00,5000.00,Female
18-21,1,Accounting,"Risk Consultant ",Bachelor's Degree,USA,62000.00,0.00,5000.00,Female
18-21,1,Accounting,"Consulting associate ",Master's Degree,USA,80000.00,0.00,6000.00,Female
18-21,1,Accounting,Audit Staff 1,Bachelor's Degree,USA,62000.00,0.00,8000.00,Female
18-21,1,Accounting,Tax Accountant,Master's Degree,USA,77000.00,0.00,5000.00,Female
18-21,1,Accounting,Admin Officer,"High School Graduate, Diploma or the equivalent (e",AUSTRALIA,30000.00,0.00,0.00,Female
18-21,2,Accounting,Accounting Assistant,"Some College credit, no degree",USA,34000.00,0.00,0.00,Female
18-21,1,Accounting,Assurance and Accounting Co-op,Bachelor's Degree,CANADA,49000.00,0.00,0.00,Female
18-21,1,Accounting,Accountant,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
18-21,1,Accounting,Tax Staff Accountant,Bachelor's Degree,USA,53000.00,0.00,0.00,Female
18-21,1,Accounting,Staff Accountant,"Some College credit, no degree",CANADA,55000.00,0.00,0.00,Female
18-21,1,Accounting,Tax Associate,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
18-21,1,Accounting,Entry Level Tax,Bachelor's Degree,USA,58000.00,0.00,0.00,Female
18-21,1,Accounting,Tax Consultant,Bachelor's Degree,NEW ZEALAND,59000.00,0.00,0.00,Female
18-21,1,Accounting,"Tax associate ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
18-21,1,Accounting,Audit Associate,Master's Degree,USA,74000.00,0.00,0.00,Female
18-21,1,accounting,audit associate,Bachelor's Degree,USA,77000.00,0.00,0.00,Female
18-21,1,Accounting,Apprentice,"High School Graduate, Diploma or the equivalent (e",ENGLAND,19500.00,1000.00,0.00,Female
18-21,1,Accounting,"Staff accountant ",Bachelor's Degree,USA,50000.00,1000.00,0.00,Female
18-21,1,Accounting,"Fund Accountant ",Bachelor's Degree,USA,56000.00,3000.00,0.00,Female
18-21,1,Accounting,Auditor,Bachelor's Degree,IRELAND,27000.00,0.00,0.00,Male
18-21,1,Accounting,Graduate Accountant,Bachelor's Degree,AUSTRALIA,48000.00,0.00,0.00,Male
18-21,1,Accounting,Compliance Staff Auditor,Bachelor's Degree,USA,51500.00,0.00,0.00,Male
18-21,1,Accounting,Audit Associate,Bachelor's Degree,USA,68000.00,0.00,0.00,Male
18-21,2,Accounting,"Junior accountant ",Bachelor's Degree,CANADA,50000.00,2000.00,0.00,Male
18-21,1,"Accounting ","Accounts Receivable Manager ",Bachelor's Degree,AUSTRALIA,28000.00,0.00,0.00,Male
18-21,1,"Accounting ","Controller ",Bachelor's Degree,USA,80000.00,6000.00,0.00,Male
18-21,1,"Accounting ",Associate level 1,Bachelor's Degree,USA,145600.00,0.00,2.00,Female
18-21,1,"Accounting ","Accounting intern ",Bachelor's Degree,USA,80000.00,0.00,1000.00,Female
18-21,1,"Accounting ",Auditor,Bachelor's Degree,USA,58000.00,0.00,6000.00,Male
18-21,4,"Accounting ",Accounts Receivable Rep,Bachelor's Degree,USA,16000.00,0.00,0.00,Female
18-21,1,"Accounting ","Tax Associate ",Bachelor's Degree,USA,54000.00,0.00,0.00,Female
18-21,1,"Accounting ","Staff Accountant ",Bachelor's Degree,USA,55000.00,0.00,0.00,Female
18-21,1,"Accounting ","Accounts payable ",Bachelor's Degree,USA,58000.00,0.00,0.00,Female
18-21,2,"Accounting ","Associate ",Bachelor's Degree,USA,62000.00,0.00,0.00,Female
18-21,1,"Accounting ","Audit Associate ",Bachelor's Degree,USA,70000.00,0.00,0.00,Female
18-21,1,"Accounting ","Tax Accountant ",Bachelor's Degree,USA,75000.00,0.00,0.00,Female
18-21,1,"Accounting ","Auditor ","High School Graduate, Diploma or the equivalent (e",USA,31000.00,300.00,0.00,Female
18-21,1,"Accounting ",Audit Placement Student,Bachelor's Degree,ENGLAND,18700.00,1000.00,0.00,Female
18-21,3,"Accounting ","Administration ","High School Graduate, Diploma or the equivalent (e",USA,39000.00,1000.00,0.00,Female
18-21,1,"Accounting ","Tax associate ",Bachelor's Degree,USA,63000.00,6300.00,0.00,Female
18-21,2,"Accounting ",Senior Auditor,Bachelor's Degree,USA,65000.00,15000.00,0.00,Male
18-21,4,"Accounting  ","Assistant management accountant ",Associate Degree,USA,24404.00,0.00,0.00,Female
18-21,1,"Accounting  ",Risk & Financial Advisory - Technology,Bachelor's Degree,USA,72000.00,0.00,0.00,Female
18-21,4,"Accounting  ",Junior Financial Officer,Bachelor's Degree,CANADA,59211.00,500.00,0.00,Male
18-21,1,"Accounting  ","Junior accountant ","Some College credit, no degree",AUSTRALIA,42022.50,0.00,0.00,Female
18-21,1,Advertising,Marketing Coordinator,Bachelor's Degree,USA,70000.00,0.00,0.00,Female
18-21,4,Administration,"Admin assistant ",Bachelor's Degree,USA,41000.00,0.00,0.00,Female
18-21,2,Administration,Administrative Assistant,"Some College credit, no degree",CANADA,71000.00,3450.00,0.00,Female
18-21,4,"Administration ","Administration Assistant ","Some College credit, no degree",USA,84000.00,0.00,0.00,Female
18-21,1,Adminstration,Administrative assistant,"High School Graduate, Diploma or the equivalent (e",AUSTRALIA,50000.00,0.00,0.00,Female
